"DirectedEdge[4698, 3585]","DirectedEdge[3585, 4698]","{2, 1}"
"DirectedEdge[731, 2531]","DirectedEdge[2531, 731]","{4, 9}"
"DirectedEdge[1526, 1219]","DirectedEdge[1219, 1526]","{57, 2}"
"DirectedEdge[2492, 973]","DirectedEdge[973, 2492]","{33, 1}"
"DirectedEdge[2, 973]","DirectedEdge[973, 2]","{2, 1}"
"DirectedEdge[8271, 9]","DirectedEdge[9, 8271]","{54, 1}"
"DirectedEdge[484, 2]","DirectedEdge[2, 484]","{3, 1}"
"DirectedEdge[15867, 410]","DirectedEdge[410, 15867]","{2, 1}"
"DirectedEdge[746, 1040]","DirectedEdge[1040, 746]","{9, 1}"
"DirectedEdge[1239, 8994]","DirectedEdge[8994, 1239]","{5, 5}"
"DirectedEdge[1060, 6661]","DirectedEdge[6661, 1060]","{2, 2}"
"DirectedEdge[833, 6661]","DirectedEdge[6661, 833]","{11, 1}"
"DirectedEdge[2431, 6661]","DirectedEdge[6661, 2431]","{11, 1}"
"DirectedEdge[3795, 460]","DirectedEdge[460, 3795]","{42, 2}"
"DirectedEdge[130, 114]","DirectedEdge[114, 130]","{7, 8}"
"DirectedEdge[2531, 469]","DirectedEdge[469, 2531]","{13, 2}"
"DirectedEdge[2596, 4312]","DirectedEdge[4312, 2596]","{18, 2}"
"DirectedEdge[8994, 1647]","DirectedEdge[1647, 8994]","{6, 1}"
"DirectedEdge[720, 2484]","DirectedEdge[2484, 720]","{36, 3}"
"DirectedEdge[4232, 2484]","DirectedEdge[2484, 4232]","{5, 3}"
"DirectedEdge[3130, 9880]","DirectedEdge[9880, 3130]","{1, 7}"
"DirectedEdge[2119, 3134]","DirectedEdge[3134, 2119]","{13, 2}"
"DirectedEdge[290, 1807]","DirectedEdge[1807, 290]","{12, 1}"
"DirectedEdge[3687, 1239]","DirectedEdge[1239, 3687]","{12, 4}"
"DirectedEdge[720, 929]","DirectedEdge[929, 720]","{49, 2}"
"DirectedEdge[488, 10098]","DirectedEdge[10098, 488]","{2, 1}"
"DirectedEdge[488, 1050]","DirectedEdge[1050, 488]","{11, 39}"
"DirectedEdge[1141, 882]","DirectedEdge[882, 1141]","{2, 1}"
"DirectedEdge[3121, 6852]","DirectedEdge[6852, 3121]","{9, 2}"
"DirectedEdge[982, 6852]","DirectedEdge[6852, 982]","{6, 1}"
"DirectedEdge[5437, 6852]","DirectedEdge[6852, 5437]","{7, 3}"
